;Unnamed: 0;mar_diminutif;prod_code;prdp_code;montant_ht_2023;montant_ht_2024;prod_designation
34;34;Bâtiment;VJE002;BATCJE002;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Boissy (sens Y)
35;35;Bâtiment;VJE003;BATCJE003;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Champigny (sens W)
36;36;Bâtiment;VJE004;BATCJE004;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Champigny (sens Y)
37;37;Bâtiment;VJE005;BATCJE005;0.0;0.0;EST - Contrôle de jour des issues de secours des tunnels Moulin et Guy Môquet (tube I)
38;38;Bâtiment;VJE006;BATCJE006;0.0;0.0;EST - Contrôle de jour des issues de secours des tunnels Moulin et Guy Môquet (tube E)
39;39;Bâtiment;VJE007;BATCJE007;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Nogent (sens I)
40;40;Bâtiment;VJE008;BATCJE008;0.0;0.0;EST - Contrôle de jour des issues de secours du tunnel de Nogent (sens E)
41;41;Bâtiment;VJN001;BATCJN001;0.0;0.0;NORD - Contrôle de jour des issues de secours des tunnels de Bobigny, Lumen-Norton et La Courneuve (tube I)
42;42;Bâtiment;VJN002;BATCJN002;0.0;0.0;NORD - Contrôle de jour des issues de secours des tunnels de Bobigny, Lumen-Norton et La Courneuve (tube E)
43;43;Bâtiment;VJN003;BATCJN003;0.0;0.0;NORD - Contrôle de jour des issues de secours du tunnel de Landy (sens W)
44;44;Bâtiment;VJN004;BATCJN004;0.0;0.0;NORD - Contrôle de jour des issues de secours du tunnel de Landy (sens Y)
45;45;Bâtiment;VJN005;BATCJN005;0.0;0.0;NORD - Contrôle de jour des issues de secours du tunnel de Taverny (deux sens)
46;46;Bâtiment;VJO001;BATCJN001;0.0;0.0;OUEST - Contrôle de jour des issues de secours des tunnels Ambroise Paré et Saint-Cloud (sens W)
47;47;Bâtiment;VJO002;BATCJN002;0.0;0.0;OUEST - Contrôle de jour des issues de secours des tunnels Ambroise Paré et Saint-Cloud (sens Y)
48;48;Bâtiment;VJO003;BATCJN003;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Chennevières (deux sens)
49;49;Bâtiment;VJO004;BATCJN004;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Fontenay (sens W)
50;50;Bâtiment;VJO005;BATCJN005;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Fontenay (sens Y)
51;51;Bâtiment;VJO006;BATCJN006;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Nanterre (tube I)
52;52;Bâtiment;VJO007;BATCJN007;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Nanterre (tube E)
53;53;Bâtiment;VJO008;BATCJN008;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Belle-Rive (tube I)
54;54;Bâtiment;VJO009;BATCJN009;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Belle-Rive (tube E)
55;55;Bâtiment;VJO010;BATCJN010;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Neuilly (sens W)
56;56;Bâtiment;VJO011;BATCJN011;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Neuilly (sens Y)
57;57;Bâtiment;VJO012;BATCJN012;0.0;0.0;OUEST - Contrôle de jour des issues de secours du tunnel de Sévines (deux sens)
58;58;Bâtiment;VJS001;BATCJS001;0.0;0.0;SUD - Contrôle de jour des issues de secours des tunnels Bicêtre et Italie (sens W)
59;59;Bâtiment;VJS002;BATCJS002;0.0;0.0;SUD - Contrôle de jour des issues de secours des tunnels Bicêtre et Italie (sens Y)
60;60;Bâtiment;VJS003;BATCJS003;0.0;0.0;SUD - Contrôle de jour des issues de secours des tunnels d'Antony et Fresnes (tube I)
61;61;Bâtiment;VJS004;BATCJS004;0.0;0.0;SUD - Contrôle de jour des issues de secours des tunnels d'Antony et Fresnes (tube E)
62;62;Bâtiment;VJS005;BATCJS005;0.0;0.0;SUD - Contrôle de jour des issues de secours du tunnel d'Orly (deux sens)
63;63;Bâtiment;VNE001;BATCNE001;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Boissy (sens W)
64;64;Bâtiment;VNE002;BATCNE002;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Boissy (sens Y)
65;65;Bâtiment;VNE003;BATCNE003;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Champigny (sens W)
66;66;Bâtiment;VNE004;BATCNE004;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Champigny (sens Y)
67;67;Bâtiment;VNE005;BATCNE005;0.0;0.0;EST - Contrôle de nuit des issues et niches des tunnels Moulin et Guy Môquet (tube I)
68;68;Bâtiment;VNE006;BATCNE006;0.0;0.0;EST - Contrôle de nuit des issues et niches des tunnels Moulin et Guy Môquet (tube E)
69;69;Bâtiment;VNE007;BATCNE007;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Nogent (sens I)
70;70;Bâtiment;VNE008;BATCNE008;0.0;0.0;EST - Contrôle de nuit des issues et niches du tunnel de Nogent (sens E)
71;71;Bâtiment;VNN001;BATCNN001;0.0;0.0;NORD - Contrôle de nuit des issues et niches des tunnels de Bobigny, Lumen-Norton et La Courneuve (tube I)
72;72;Bâtiment;VNN002;BATCNN002;0.0;0.0;NORD - Contrôle de nuit des issues et niches des tunnels de Bobigny, Lumen-Norton et La Courneuve (tube E)
73;73;Bâtiment;VNN003;BATCNN003;0.0;0.0;NORD - Contrôle de nuit des issues et niches du tunnel de Landy (sens W)
74;74;Bâtiment;VNN004;BATCNN004;0.0;0.0;NORD - Contrôle de nuit des issues et niches du tunnel de Landy (sens Y)
75;75;Bâtiment;VNN005;BATCNN005;0.0;0.0;NORD - Contrôle de nuit des issues et niches du tunnel de Taverny (deux sens)
76;76;Bâtiment;VNO001;BATCNO001;0.0;0.0;OUEST - Contrôle de nuit des issues et niches des tunnels Ambroise Paré et Saint-Cloud (sens W)
77;77;Bâtiment;VNO002;BATCNO002;0.0;0.0;OUEST - Contrôle de nuit des issues et niches des tunnels Ambroise Paré et Saint-Cloud (sens Y)
78;78;Bâtiment;VNO003;BATCNO003;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Chennevières (deux sens)
79;79;Bâtiment;VNO004;BATCNO004;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Fontenay (sens W)
80;80;Bâtiment;VNO005;BATCNO005;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Fontenay (sens Y)
81;81;Bâtiment;VNO006;BATCNO006;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Nanterre (tube I)
82;82;Bâtiment;VNO007;BATCNO007;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Nanterre (tube E)
83;83;Bâtiment;VNO008;BATCNO008;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Belle-Rive (tube I)
84;84;Bâtiment;VNO009;BATCNO009;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Belle-Rive (tube E)
85;85;Bâtiment;VNO010;BATCNO010;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Neuilly (sens W)
86;86;Bâtiment;VNO011;BATCNO011;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Neuilly (sens Y)
87;87;Bâtiment;VNO012;BATCNO012;0.0;0.0;OUEST - Contrôle de nuit des issues et niches du tunnel de Sévines (deux sens)
88;88;Bâtiment;VNS001;BATCNS001;0.0;0.0;SUD - Contrôle de nuit des issues et niches des tunnels Bicêtre et Italie (sens W)
89;89;Bâtiment;VNS002;BATCNS002;0.0;0.0;SUD - Contrôle de nuit des issues et niches des tunnels Bicêtre et Italie (sens Y)
90;90;Bâtiment;VNS003;BATCNS003;0.0;0.0;SUD - Contrôle de nuit des issues et niches des tunnels d'Antony et Fresnes (tube I)
91;91;Bâtiment;VNS004;BATCNS004;0.0;0.0;SUD - Contrôle de nuit des issues et niches des tunnels d'Antony et Fresnes (tube E)
92;92;Bâtiment;VNS005;BATCNS005;0.0;0.0;SUD - Contrôle de nuit des issues et niches du tunnel d'Orly (deux sens)
93;93;Propreté;POI006;BATIIS006;3150.0;4384.8;Inspection de toutes les IS dans les 2 sens de circulation du tunnel A86 Nanterre
94;94;Propreté;POI007;BATIIS007;3150.0;4384.8;'Inspection de toutes les IS dans les 2 sens de circulation de l''''changeur A14/A86'
95;95;Propreté;POI008;BATIIS008;5670.0;7892.64;Inspection de toutes les IS dans les 2 sens de circulation du tunnel A14 Grande Arche
96;96;Propreté;POI009;BATIIS009;5670.0;5919.48;Inspection de toutes les IS dans les 2 sens de circulation du tunnel A14 Défense
97;97;Propreté;POI010;BATIIS010;1416.0;1971.08;Inspection de toutes les IS dans les 2 sens de circulation du tunnel Neuilly
98;98;Propreté;POI011;BATIIS011;1416.0;1971.08;Inspection de toutes les IS dans les 2 sens de circulation du tunnel Sévines
99;99;Propreté;POI016;BATIIS016;0.0;8179.92;Inspection de toutes les IS dans les 2 sens de circulation du tunnel Nogent
100;100;Propreté;POI017;BATIIS017;0.0;1136.1;Inspection de toutes les IS dans les 2 sens de circulation du tunnel Champigny
101;101;Propreté;POI018;BATIIS018;0.0;1022.49;Inspection de toutes les IS dans les 2 sens de circulation des tunnels de Thiais
102;102;Propreté;POI024;BATIIS024;0.0;8956.2;Débroussaillage des abords d une issue,, d un équipement  dynamique  ou tout type de local conformément à l annexe 4 du CCTP.
103;103;Propreté;POL001;PRPLTB001;12530.0;13081.32;Lavage de nuit  d''un tube (Y ou W) du tunnel Chennevières
104;104;Propreté;POL002;PRPLTB002;12940.0;13509.36;Lavage de nuit  d''un tube (Y ou W) du tunnel Fontenay le Fleury
105;105;Propreté;POL003;PRPLTB003;27057.0;38348.8;Lavage de nuit  d''un tube (Y ou W) du tunnel Saint-Cloud
106;106;Propreté;POL004;PRPLTB004;18038.0;38348.8;Lavage de nuit  d''un tube (Y ou W) du tunnel Ambroise PARE
107;107;Propreté;POL005;PRPLTB005;18038.0;38348.8;Lavage de nuit  d''un tube (I ou E) du tunnel Belle-Rives
108;108;Propreté;POL006;PRPLTB006;18038.0;37663.36;Lavage de nuit  d''un tube (I ou E) du tunnel A86 Nanterre y compris échangeur A14/A86
109;109;Propreté;POL007;PRPLTB007;76326.0;159368.68;Lavage de nuit  d''un tube (Y ou W) du tunnel A14 y compris échangeur Défense
110;110;Propreté;POL008;PRPLTB008;8044.0;16795.88;Lavage de nuit  d''un tube (Y ou W) du tunnel Neuilly
111;111;Propreté;POL009;PRPLTB009;8044.0;16795.88;Lavage de nuit  d''un tube (Y ou W) du tunnel Sévines
112;112;Propreté;POL010;PRPLTB010;8044.0;8397.94;Lavage de nuit  d''un tube (Y ou W) du tunnel Taverny
113;113;Propreté;POL011;PRPLTB011;36076.0;37663.36;Lavage de nuit  d''un tube (Y ou W) du tunnel LANDY
114;114;Propreté;POL012;PRPLTB012;21561.0;45019.36;Lavage de nuit  d''un tube (I ou E) des tunnels Bobigny Lumen Norton
115;115;Propreté;POL013;PRPLTB013;11632.0;12143.8;Lavage de nuit  d''un tube (I ou E) du tunnel La Courneuve
116;116;Propreté;POL014;PRPLTB014;43122.0;136696.72;Lavage de nuit  d''un tube (Y ou W) du tunnel Nogent
117;117;Propreté;POL015;PRPLTB015;44203.54;45155.08;Lavage de nuit  d''un tube (Y ou W) du tunnel Champigny
118;118;Propreté;POL016;PRPLTB016;36869.68;37663.36;Lavage de nuit  d''un tube (I ou E) des tunnels de Thiais
119;119;Propreté;POL017;PRPLTB017;23918.04;0.0;Lavage de nuit  d''un sens de circulation (1 seul piédroit) des tunnels Antony et Fresnes
120;120;Propreté;POL018;PRPLTB018;14570.0;15211.08;Lavage de nuit  d''un sens de circulation (1 seul piédroit) du tunnel Bicêtre
121;121;Propreté;POL019;PRPLTB019;8044.0;8397.94;Lavage de nuit  d''un tube (Y ou W) du tunnel d''Italie
122;122;Propreté;POL020;PRPLTB020;4022.0;4198.97;Lavage de nuit  d''un sens de circulation (1 seul piédroit) du tunnel d''Orly sens Y
123;123;Propreté;POL023;PRPLTB023;88607.64;150605.4;Lavage de jour d''Issue de Secours
124;124;Propreté;POL026;PRPLTB026;31890.0;18040.32;Lavage de jour de tout  type de local (eau + détergent)
125;125;Propreté;POL030;PRPLTB030;0.0;0.0;Lavage de nuit d’un tube (Y ou W) du tunnel de BOISSY
126;126;Propreté;POL027;PRPPLV027;1881.0;3948.0;Plus-value au prix POL023 à POL026 pour intervention de nuit
127;127;ContReg;CRC101;CRGDLA101;0.0;0.0;Vérification réglementaire d’un dispositif de levage inférieur ou égal à 3 tonnes
128;128;ContReg;CRC102;CRGDLB102;0.0;0.0;Vérification réglementaire d’un dispositif de levage compris entre 3 et 6 tonnes
129;129;ContReg;CRC103;CRGDLC103;0.0;0.0;Vérification réglementaire d’un dispositif de levage supérieur à 6 tonnes
130;130;ContReg;CRC106;CRGVPA106;0.0;0.0;Vérification périodique d’un équipement en bord de chaussée (armoire, alimentation d’un équipement trafic ou tunnel, ...)
131;131;ContReg;CRC107;CRGVPA107;0.0;0.0;Vérification périodique des équipements électriques et métalliques d’un tunnel (contrôles d’équipotentialité)
132;132;ContReg;CRC114;CRGPLV114;0.0;0.0;Plus-value aux prix du BPU pour une prestation effectuée de nuit
133;133;ContReg;CRC115;CRGPLV115;0.0;0.0;Surcoût du matériel de protection du coronavirus (masques, gel, & )
134;134;ContReg;CRE101;CRGVIE101;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine du Port du Tunnel de Nogent
135;135;ContReg;CRE102;CRGVIE102;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine de la Gare du Tunnel de Nogent
136;136;ContReg;CRE103;CRGVIE103;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine de la Fourchette de Bry du Tunnel de Champigny
137;137;ContReg;CRE104;CRGVIE104;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine des Boullereaux du Tunnel de Champigny
138;138;ContReg;CRE105;CRGVIE105;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste CD60 du Tunnel de Thiais
139;139;ContReg;CRE106;CRGVIE106;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste PS1 ou PS2 du Tunnel de Thiais
140;140;ContReg;CRE107;CRGVIE107;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) GMA du tronc commun A4/A86
141;141;ContReg;CRE108;CRGVIE108;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du PCTT de Champigny-sur-Marne
142;142;ContReg;CRE109;CRGVIE109;0.0;0.0;Vérification périodique pour l’installation d’un local de type Site Technique Thompson
143;143;ContReg;CRE110;CRGVIE110;0.0;0.0;Vérification périodique des installations de l’Usine de BOISSY SAINT LEGER ( 2 postes HT + 7 TGBT + locaux techniques)
144;144;ContReg;CRN101;CRGVIN101;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Routeclair du Tunnel du Landy
145;145;ContReg;CRN102;CRGVIN102;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Passoudi du Tunnel du Landy
146;146;ContReg;CRN103;CRGVIN103;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Landy Nord du Tunnel du Landy
147;147;ContReg;CRN104;CRGVIN104;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Landy Sud du Tunnel du Landy
148;148;ContReg;CRN105;CRGVIN105;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Diderot Est et Ouest du Tunnel du Landy
149;149;ContReg;CRN106;CRGVIN106;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Genève du Tunnel de la Courneuve
150;150;ContReg;CRN107;CRGVIN107;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) Couverture Norton
151;151;ContReg;CRN108;CRGVIN108;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) Couverture Lumen
152;152;ContReg;CRN109;CRGVIN109;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Aération du Tunnel de Bobigny
153;153;ContReg;CRN110;CRGVIN110;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Sous-Poste 1 ou 2 ou 3 ou 4 ou 5 du Tunnel de Bobigny
154;154;ContReg;CRN111;CRGVIN111;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Préfecture du Tunnel de Bobigny
155;155;ContReg;CRN112;CRGVIN112;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de la Station 6 Routes du Tunnel de Bobigny
156;156;ContReg;CRN113;CRGVIN113;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de la Station Repiquet du Tunnel de Bobigny
157;157;ContReg;CRN114;CRGVIN114;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste du Tunnel de Taverny
158;158;ContReg;CRN115;CRGVIN115;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) des Bâtiments Shelter et Radio
159;159;ContReg;CRN116;CRGVIN116;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du PCTT de Saint-Denis
160;160;ContReg;CRO101;CRGVIO101;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste du Tunnel de Sévines
161;161;ContReg;CRO102;CRGVIO102;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Neuilly Est ou Neuilly Ouest du Tunnel de Neuilly
162;162;ContReg;CRO103;CRGVIO103;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine A1 du Tunnel Complexe A14/A86
163;163;ContReg;CRO104;CRGVIO104;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) de l’Usine A2 ou A3 ou A5 ou A6 ou A7 ou A8 ou A9 ou A11 du Tunnel Complexe A14/A86
164;164;ContReg;CRO105;CRGVIO105;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste B Nord ou B Sud du Tunnel Complexe A14/A86
165;165;ContReg;CRO106;CRGVIO106;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste C Nord ou C Sud ou C Annexe ou D Nord ou D Sud du Tunnel Complexe A14/A86
166;166;ContReg;CRO107;CRGVIO107;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste X Nord ou X Sud du Tunnel Complexe A14/A86
167;167;ContReg;CRO108;CRGVIO108;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste A86 Nord Anatole France
168;168;ContReg;CRO109;CRGVIO109;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste A86 Sud Hoche
169;169;ContReg;CRO110;CRGVIO110;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste B1 ou B3 du Tunnel Complexe A14/A86
170;170;ContReg;CRO111;CRGVIO111;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Faidherbes du Tunnel Complexe A14/A86
171;171;ContReg;CRO112;CRGVIO112;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Jules Quentin du Tunnel Complexe A14/A86
172;172;ContReg;CRO113;CRGVIO113;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Accacia du Tunnel Bellerive
173;173;ContReg;CRO114;CRGVIO114;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Breguet du Tunnel Bellerive
174;174;ContReg;CRO115;CRGVIO115;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Stade du Tunnel Bellerive
175;175;ContReg;CRO116;CRGVIO116;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Ouest du Tunnel Ambroise Paré
176;176;ContReg;CRO117;CRGVIO117;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Est du Tunnel Ambroise Paré
177;177;ContReg;CRO118;CRGVIO118;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Pompage point bas du Tunnel Ambroise Paré
178;178;ContReg;CRO119;CRGVIO119;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Paris du Tunnel Saint-Cloud
179;179;ContReg;CRO120;CRGVIO120;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Province du Tunnel Saint-Cloud
180;180;ContReg;CRO121;CRGVIO121;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Tête de puits du Tunnel Saint-Cloud
181;181;ContReg;CRO122;CRGVIO122;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Adouze du Tunnl Fontenay-le-Fleury
182;182;ContReg;CRO123;CRGVIO123;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Pontchartrain du Tunnel Chennevières
183;183;ContReg;CRO124;CRGVIO124;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du PCTT de Nanterre
184;184;ContReg;CRO125;CRGVIO125;0.0;0.0;Vérification périodique des installations de l’Usine B5 ( 2 postes HT+ 7 TGBT + locaux techniques)
185;185;ContReg;CRS101;CRGVIS101;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Léon Blum du Tunnel d’Antony
186;186;ContReg;CRS102;CRGVIS102;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Complexe 1 du Tunnel d’Antony
187;187;ContReg;CRS103;CRGVIS103;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Complexe 2 du Tunnel d’Antony
188;188;ContReg;CRS104;CRGVIS104;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Complexe 3 du Tunnel d’Antony
189;189;ContReg;CRS105;CRGVIS105;0.0;0.0;Vérification périodique des installations (telles que décrites dans le CCTP et son annexe) du Poste Danièle du Tunnel de Fresnes
